Geography,year,MWSTEMTotalDiffpercent,GMathDi?ff,D_biepMale_Science_all
Washington,2009,3.724804699,35,0.35
Washington,2010,3.563176954,36,0.35
Washington,2011,3.612224037,34,0.34
Washington,2012,3.616962844,37,0.37
Washington,2013,3.754134638,34,0.35
Washington,2014,3.971765199,31,0.3
Washington,2015,4.10645438,27,0.31
Washington,2016,4.224102266,28,0.3
Washington,2017,4.260228398,22,0.3
Washington,2018,4.460098429,22,0.295620064
West Virginia,2005,1.587819015,41,0.34
West Virginia,2006,1.478528607,41,0.34
West Virginia,2007,1.739988105,45,0.34
West Virginia,2008,1.494115119,37,0.32
West Virginia,2009,1.739490703,35,0.35
West Virginia,2010,1.315510517,41,0.39
West Virginia,2011,1.871473862,44,0.36
West Virginia,2012,1.656649244,41,0.38
West Virginia,2013,1.797718389,29,0.37
West Virginia,2014,1.49505616,44,0.32
West Virginia,2015,1.522418964,26,0.33
West Virginia,2016,1.315243078,34,0.31
West Virginia,2017,1.631577019,37,0.32
West Virginia,2018,1.732560488,18,0.352019334
Wisconsin,2005,2.53891273,30,0.36
Wisconsin,2006,2.35742222,39,0.33
Wisconsin,2007,2.549800624,34,0.37
Wisconsin,2008,2.460261107,35,0.37
Wisconsin,2009,2.205825565,40,0.37
Wisconsin,2010,2.041119876,36,0.35
Wisconsin,2011,2.390973459,36,0.33
Wisconsin,2012,2.572220914,41,0.34
Wisconsin,2013,2.513232712,33,0.36
Wisconsin,2014,2.535135516,44,0.3
Wisconsin,2015,2.583269483,42,0.34
Wisconsin,2016,2.626066064,36,0.34
Wisconsin,2017,2.98534041,36,0.31
Wisconsin,2018,2.799308772,35,0.317469116
Wyoming,2005,2.199564669,33,0.36
Wyoming,2006,1.902849409,19,0.29
Wyoming,2007,2.180943241,29,0.54
Wyoming,2008,2.311852692,59,0.45
Wyoming,2009,1.649231869,64,0.34
Wyoming,2010,3.11542512,28,0.3
Wyoming,2011,1.765982363,27,0.44
Wyoming,2012,1.977005267,20,0.36
Wyoming,2013,1.519199113,48,0.34
Wyoming,2014,1.94620155,46,0.35
Wyoming,2015,2.043795187,33,0.41
Wyoming,2016,1.509873195,54,0.3
Wyoming,2017,1.657202193,21,0.34
Wyoming,2018,2.191423094,40,0.30663249
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
 , , , , 
